company,category,all_years,2023,2022,2021,2020,2019,2018,2017
LSE,Education,2010,404,557,367,276,243,196,168
Cambridge,Education,135,7,8,10,16,15,16,13
Oxford,Education,189,1,4,11,15,19,24,21
King's,Education,218,13,17,24,21,27,17,23
UCL,Education,243,8,15,26,14,28,25,20
Deloitte,Big4,1714,58,141,201,201,243,203,207
EY,Big4,1370,53,111,134,149,183,183,153
PwC,Big4,1144,66,97,103,110,127,93,104
KPMG,Big4,797,22,54,70,62,87,76,87
McKinsey,Big3,982,28,77,108,110,126,126,131
BCG,Big3,775,34,86,84,82,126,116,70
Bain,Big3,395,12,27,31,37,81,51,45
Google,Tech,699,14,17,37,42,39,51,41
Amazon,Tech,762,25,45,48,36,62,61,59
Apple,Tech,297,18,14,16,9,22,13,20
Meta,Tech,283,3,4,13,14,14,18,19
Microsoft,Tech,278,8,12,12,16,23,26,17
JPM,Finance,1104,45,53,62,82,110,126,96
GoldmanSachs,Finance,881,63,51,61,81,103,107,88
MorganStanley,Finance,652,27,55,41,44,66,60,49
Blackstone,Finance,152,7,12,8,12,17,15,17
Blackrock,Finance,373,15,26,23,22,45,44,33
Citadel,Finance,74,5,4,3,2,1,3,11
